ds,yhat,yhat_lower,yhat_upper,destination
2026-08-01,34.13459067022812,26.62121649834003,41.70275637114638,Fes
2026-09-01,32.123303434240924,25.44556936849012,39.005461446237554,Fes
2026-10-01,106.45612667956068,100.21190915590512,113.64268950721318,Fes
2026-11-01,34.35577220303658,26.99175227221233,41.6053847209669,Fes
2026-12-01,33.52813496955402,26.200168629157186,40.880823413811264,Fes
2027-01-01,34.40629904037566,27.672761197942428,41.50758813117706,Fes
2026-09-01,193.87920174464276,175.8192586938889,212.5052612314587,Marrakech
2026-10-01,192.94215284903225,175.85175097221733,211.60103609394818,Marrakech
2026-11-01,194.51725581065878,176.0015372195661,212.00667743797237,Marrakech
2026-12-01,57.19209327685374,38.692739290490266,74.73184750763161,Marrakech
2027-01-01,61.23721565696064,44.29921883621833,78.71817768184367,Marrakech
2027-02-01,66.94674670514664,48.60170539439403,83.75621527354981,Marrakech
2026-08-01,22.595497354849456,16.31189612134062,28.624061378635325,Casablanca
2026-09-01,75.55708345988616,69.60665281904915,81.14905607552375,Casablanca
2026-10-01,24.52769709014827,18.514163135228358,30.105281548219736,Casablanca
2026-11-01,24.873300555990113,18.977701521499732,30.806005162973413,Casablanca
2026-12-01,28.70338209225128,22.652286696284133,34.82997617467687,Casablanca
2027-01-01,24.175394282517075,18.421700883232408,30.030510183402974,Casablanca
2026-09-01,43.54212637974138,24.27801456695075,63.66765719172768,Agadir
2026-10-01,32.47794894510824,13.540953009488277,51.33057067927536,Agadir
2026-11-01,36.242056958937155,18.028612051318074,56.398537550431485,Agadir
2026-12-01,123.83307525521624,105.03785413852503,143.48863602748602,Agadir
2027-01-01,35.37736561705114,16.548753543067754,55.34710279526589,Agadir
2027-02-01,30.618715230675953,10.2324378129611,49.793358014008135,Agadir
2026-09-01,82.82966949375773,74.92849865983159,91.25080706000105,Chefchaouen
2026-10-01,91.37670835930632,83.23660740322106,100.05179582420915,Chefchaouen
2026-11-01,27.912445075235407,20.41625625508269,36.06174963473552,Chefchaouen
2026-12-01,32.35411423348125,23.58892809805052,40.37434150785966,Chefchaouen
2027-01-01,23.447234687518012,15.62698524757884,32.068238794554034,Chefchaouen
2027-02-01,23.098874380945944,15.643539039162192,31.75959519433383,Chefchaouen
2026-09-01,27.610303226389853,13.06083336523918,43.546386583149044,Essaouira
2026-10-01,24.270812539029883,9.201718258951649,40.0847939771704,Essaouira
2026-11-01,22.012431877543655,5.748255290513029,38.0795968194358,Essaouira
2026-12-01,23.288952899917152,7.796188671948212,38.575269154004545,Essaouira
2027-01-01,16.359766555937213,1.8767856402534742,32.19323463583668,Essaouira
2027-02-01,20.240463613592983,4.443409732822844,35.00310012185382,Essaouira
2026-09-01,21.471029762293483,9.779994471500029,32.496347864823356,Tanger
2026-10-01,17.451886627846953,6.588956115970501,28.140595843802366,Tanger
2026-11-01,15.843665064570043,4.791835921018695,26.88482045039366,Tanger
2026-12-01,13.242206523172683,0.624216133312962,24.50366424487634,Tanger
2027-01-01,17.847976218323957,6.254219203619034,28.991542793036544,Tanger
2027-02-01,14.439383387697362,2.729491926617194,25.711478253533933,Tanger
2026-08-01,20.854425593773474,14.928749112441501,26.51435370245593,Merzouga
2026-09-01,15.015101947532049,8.81140540954087,21.26436335330713,Merzouga
2026-10-01,49.37028360293403,43.45104477611722,55.50404064464796,Merzouga
2026-11-01,48.69567724288154,42.664666417803645,54.67547559591575,Merzouga
2026-12-01,20.592762755146197,14.045929712429231,26.34140920724435,Merzouga
2027-01-01,17.816297680436836,11.87060000459172,23.839418382565952,Merzouga
